# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    10.130689433   10.130689637   10.130687534
    2.532532533   15.929938181   15.929915436   15.929833402
    2.537537538   15.965075466   15.965052720   15.964970643
    2.542542543   16.000500346   16.000477600   16.000395478
    2.547547548   16.036216536   16.036193790   16.036111623
    2.552552553   16.072227824   16.072205078   16.072122865
    2.557557558   16.108538069   16.108515323   16.108433065
    2.562562563   16.145151206   16.145128460   16.145046156
    2.567567568   16.182071247   16.182048501   16.181966150
    2.572572573   16.219302280   16.219279534   16.219197136
    2.577577578   16.256848477   16.256825731   16.256743286
    2.582582583   16.294714090   16.294691344   16.294608851
    2.587587588   16.332903457   16.332880712   16.332798170
    2.592592593   16.371421004   16.371398259   16.371315668
    2.597597598   16.410271244   16.410248499   16.410165858
    2.602602603   16.449458782   16.449436038   16.449353348
    2.607607608   16.488988320   16.488965576   16.488882835
    2.612612613   16.528864654   16.528841910   16.528759118
    2.617617618   16.569092679   16.569069935   16.568987092
    2.622622623   16.609677393   16.609654649   16.609571755
    2.627627628   16.650623898   16.650601155   16.650518208
    2.632632633   16.691937404   16.691914662   16.691831662
    2.637637638   16.733623232   16.733600490   16.733517437
    2.642642643   16.775686814   16.775664073   16.775580965
    2.647647648   16.818133701   16.818110960   16.818027798
    2.652652653   16.860969562   16.860946822   16.860863605
    2.657657658   16.904200191   16.904177452   16.904094179
    2.662662663   16.947831508   16.947808770   16.947725441
    2.667667668   16.991869562   16.991846825   16.991763438
    2.672672673   17.036320536   17.036297800   17.036214356
    2.677677678   17.081190753   17.081168017   17.081084515
    2.682682683   17.126486673   17.126463939   17.126380378
    2.687687688   17.172214906   17.172192173   17.172108552
    2.692692693   17.218382210   17.218359477   17.218275797
    2.697697698   17.264995495   17.264972764   17.264889023
    2.702702703   17.312061833   17.312039103   17.311955300
    2.707707708   17.359588457   17.359565728   17.359481863
    2.712712713   17.407582767   17.407560040   17.407476112
    2.717717718   17.456052338   17.456029612   17.455945620
    2.722722723   17.505004920   17.504982195   17.504898139
    2.727727728   17.554448447   17.554425724   17.554341603
    2.732732733   17.604391042   17.604368320   17.604284133
